,Waste,"C&D, Diverted",Month
Transfer Station ,1321.99,1072,2018 JAN
Household Trash,3530.99,,2018 JAN
Misc Trash,1.67,,2018 JAN
Construction,,317,2018 JAN
Codes,,157,2018 JAN
Transfer Station ,1075.73,1535,2018 FEB
Household Trash,3072.17,,2018 FEB
Misc Trash,0.88,,2018 FEB
Construction,,543,2018 FEB
Codes,,360,2018 FEB
Transfer Station ,1422.17,1453,2018 MAR
Household Trash,3540.61,,2018 MAR
Misc Trash,1,,2018 MAR
Construction,,541,2018 MAR
Codes,,1008,2018 MAR
Transfer Station ,1585.71,1643,2018 APRIL
Household Trash,3309.1,,2018 APRIL
Misc Trash,2.56,,2018 APRIL
Construction,,380,2018 APRIL
Codes,,367,2018 APRIL
Transfer Station ,1226.41,2090,2018 MAY
Household Trash,3766.13,,2018 MAY
Misc Trash,0.95,,2018 MAY
Construction,,244,2018 MAY
Codes,,247,2018 MAY
Transfer Station ,1133.22,2249,2018 JUNE
Household Trash,3554.16,,2018 JUNE
Misc Trash,1.9,,2018 JUNE
Construction,,698,2018 JUNE
Codes,,209,2018 JUNE
Transfer Station ,1196.06,2182,2018 JULY
Household Trash,3854.95,,2018 JULY
Misc Trash,2.18,,2018 JULY
Construction,,384,2018 JULY
Codes,,307,2018 JULY
Transfer Station ,1222.53,2377,2018 AUG
Household Trash,3799.15,,2018 AUG
Misc Trash,2,,2018 AUG
Construction,,231,2018 AUG
Codes,,642,2018 AUG
Transfer Station ,1003.78,1861,2018 SEPT
Household Trash,3212.14,,2018 SEPT
Misc Trash,1.8,,2018 SEPT
Construction,,477,2018 SEPT
Codes,,402,2018 SEPT
Transfer Station ,1216,2246.3,2018 OCT
Household Trash,3591.5,,2018 OCT
Misc Trash,3.4,,2018 OCT
Construction,,600,2018 OCT
Codes,,198,2018 OCT
Transfer Station ,1076.1,1830.6,2018 NOV
Household Trash,3638,,2018 NOV
Misc Trash,3.6,,2018 NOV
Construction,,280,2018 NOV
Codes,,251,2018 NOV
Transfer Station ,984.2,1532.4,2018 DEC
Household Trash,3474,,2018 DEC
Misc Trash,2.8,,2018 DEC
Construction,,264,2018 DEC
Codes,,366,2018 DEC
