Type,Mulch,Month
Leaves,377.68,2018 JAN
Brush,1128.61,2018 JAN
Leaves,186.76,2018 FEB
Brush,1480.28,2018 FEB
Leaves,130.63,2018 MAR
Brush,1848.07,2018 MAR
Leaves,0.0,2018 APRIL
Brush,2120.24,2018 APRIL
Leaves,0.0,2018 MAY
Brush,2067.25,2018 MAY
Leaves,0.0,2018 JUNE
Brush,2256.33,2018 JUNE
Leaves,0.0,2018 JULY
Brush,2392.54,2018 JULY
Leaves,0.0,2018 AUG
Brush,2466.6,2018 AUG
Leaves,0.0,2018 SEPT
Brush,2442.15,2018 SEPT
Leaves,133.25,2018 OCT
Brush,1922.0,2018 OCT
Leaves,1768.8,2018 NOV
Brush,1279.2,2018 NOV
Leaves,2630.0,2018 DEC
Brush,250.0,2018 DEC
